Card;Time1;Time2;Time3;Time4;Time5
5000;178400;175900;181900;186600;175900
10000;363100;359100;358900;352600;357700
15000;536000;533300;561800;532700;531400
20000;708300;702800;768000;712800;702600
25000;908200;884700;936300;973500;884200
30000;1.0892e+006;1.0598e+006;1.0918e+006;1.1023e+006;1.0583e+006
35000;1.254e+006;1.362e+006;1.2388e+006;1.3066e+006;1.2331e+006
40000;1.4172e+006;1.4139e+006;1.4911e+006;1.4208e+006;1.415e+006
45000;1.5996e+006;1.5932e+006;1.5964e+006;1.5967e+006;1.5935e+006
50000;1.7677e+006;1.759e+006;1.8552e+006;1.7715e+006;1.7821e+006
55000;1.9463e+006;1.9373e+006;1.9563e+006;1.9529e+006;1.9376e+006
60000;2.216e+006;2.1331e+006;2.1166e+006;2.217e+006;2.1172e+006
65000;2.3069e+006;2.2876e+006;2.3231e+006;2.3737e+006;2.2942e+006
70000;2.4828e+006;2.4699e+006;2.4766e+006;2.6239e+006;2.4711e+006
75000;2.669e+006;2.6565e+006;2.9382e+006;2.7498e+006;2.6529e+006
80000;2.8599e+006;2.9257e+006;2.8321e+006;2.8957e+006;2.8521e+006
85000;3.0193e+006;3.0093e+006;3.0135e+006;3.014e+006;3.0061e+006
90000;3.2093e+006;3.1991e+006;3.2161e+006;3.2085e+006;3.1923e+006
95000;3.4168e+006;3.3662e+006;3.3735e+006;3.4358e+006;3.3739e+006
100000;3.5532e+006;3.539e+006;3.569e+006;3.5582e+006;3.5364e+006
105000;3.7359e+006;3.7265e+006;3.9519e+006;3.7385e+006;3.8304e+006
110000;3.9384e+006;3.9018e+006;3.9197e+006;4.0898e+006;3.8931e+006
115000;4.1058e+006;4.0904e+006;4.1146e+006;4.0967e+006;4.0881e+006
120000;4.2631e+006;4.2563e+006;4.3093e+006;4.2569e+006;4.3183e+006
125000;4.4613e+006;4.46e+006;4.4586e+006;4.4533e+006;4.4319e+006
130000;4.6363e+006;4.6482e+006;4.7228e+006;4.7628e+006;4.6101e+006
135000;4.8118e+006;4.7918e+006;5.0948e+006;4.9643e+006;4.7862e+006
140000;4.9808e+006;4.9781e+006;5.0534e+006;5.1771e+006;4.9633e+006
145000;5.1781e+006;5.1646e+006;5.163e+006;5.3601e+006;5.1583e+006
