Card;Time1;Time2;Time3;Time4;Time5;Time6
5000;1100;600;700;800;700;600
10000;600;600;700;700;600;700
15000;700;600;700;1200;800;700
20000;800;700;700;800;1100;800
25000;700;1200;800;1000;2100;700
30000;700;1200;900;800;1000;900
35000;800;800;900;1500;1100;700
40000;800;700;800;1000;1200;800
45000;800;1300;1500;900;1100;900
50000;800;800;800;1200;1200;1300
55000;900;900;900;1300;1100;1000
60000;900;1100;900;1500;1500;1000
65000;800;1000;900;1600;1700;900
70000;700;1000;1000;800;1000;900
75000;900;1000;1000;1000;1500;900
80000;700;1000;1200;1200;1100;900
85000;1100;1300;1100;1700;1000;1000
90000;900;1100;1600;1100;2100;1000
95000;1400;1100;900;1500;2300;1100
100000;1000;1100;1000;1600;1200;900
105000;1200;1200;1100;2100;1300;1000
110000;1000;1900;1000;2000;1700;1400
115000;900;2400;1800;1700;1500;1300
120000;900;1500;1700;1300;1500;1100
125000;1000;1100;1300;1600;1400;1300
130000;900;900;1400;1300;1300;900
135000;1000;1000;1900;1300;1900;1700
140000;1000;1500;1500;1300;1100;1500
145000;900;1400;1300;1900;3700;1700
150000;1100;1100;1100;1200;1200;1100
155000;1100;1200;1000;1800;1200;1000
160000;1300;1000;1300;1700;1400;1000
165000;2000;1100;1100;2000;1800;1000
170000;1100;1500;1700;1600;1200;2000
175000;1800;1100;1200;2100;2400;1400
180000;1600;1500;1500;6200;1400;1000
185000;1600;1600;1600;1000;6100;1400
190000;1100;2300;1500;1300;1400;1100
195000;1400;1900;1400;2000;2000;1000
200000;1100;2400;1800;1900;1900;1800
205000;1800;1200;5300;1800;1700;1500
210000;1300;1600;1900;2000;1400;1600
215000;1800;1300;2700;2400;1800;1500
220000;1300;1700;1800;1800;2000;2800
225000;1600;1700;1500;2500;1800;1500
230000;1200;1400;1100;2300;1700;1600
235000;1300;1200;1400;1900;1600;1500
240000;1300;1400;1500;1800;1700;1200
245000;1900;1500;1400;1900;2400;1600
250000;1000;1500;1700;2300;2000;1500
255000;1700;1600;1500;2000;1700;1600
260000;1300;1400;1400;1900;1700;1400
265000;1200;1000;1100;1900;2200;1000
270000;1300;1000;1400;2000;1200;1500
275000;1000;1000;1200;1200;1600;1300
280000;1100;1700;1000;1700;1300;1100
285000;2100;1000;1500;2600;1500;1000
290000;1200;1100;1100;2000;1500;1100
295000;1100;1000;1100;1600;1100;1200
300000;1100;1400;1100;2000;1400;1200
305000;1000;1300;1300;1800;1700;1400
310000;1200;1200;1200;2100;1500;1100
315000;1400;1500;1200;1700;2700;1300
320000;1200;1200;1400;2400;1900;1700
325000;1300;1500;1300;2300;2000;1400
330000;1400;2000;3400;1700;1700;2000
335000;1000;1200;1200;1700;1700;1400
340000;1600;2300;1600;2400;2000;1800
345000;1100;3200;1400;2100;2200;1700
350000;1300;1900;1700;2600;2000;1500
355000;1800;2300;1400;1900;1800;1900
360000;1400;1700;2200;2400;2000;1600
365000;1400;1900;4100;1800;1800;1300
370000;1600;1300;1600;2400;2100;1600
375000;1500;2100;1400;2000;2200;2000
380000;1500;2200;2000;2100;2300;1500
385000;1600;1600;1400;2100;1800;1500
390000;2000;1900;1400;2400;2000;1900
395000;1600;1300;1700;2600;2000;1800
400000;1600;1400;2200;2800;1900;1200
405000;1700;1500;2000;2000;1700;1300
410000;1700;1800;1700;2600;2500;1500
415000;2000;1700;1800;3000;2800;1700
420000;2000;1900;1700;2400;2600;1600
425000;1300;1900;1500;3000;1900;2000
430000;1600;1500;1400;2400;2600;1700
435000;1900;1800;2300;2300;2000;1500
440000;2200;1800;2200;2300;2500;1800
445000;1600;2400;1900;3000;2000;1900
450000;1800;2100;1600;2100;2800;1300
455000;1700;2500;1900;2700;2300;1700
460000;1400;2300;1600;2700;1800;2200
465000;1700;1900;1900;2000;2100;1800
470000;1600;3100;1800;1900;1900;1800
475000;1900;2000;1800;2100;2200;1400
480000;1700;1900;1700;2700;1800;2000
485000;1900;2100;1800;3000;2200;1600
490000;1600;2300;1800;2600;1800;1800
495000;1700;2100;1900;2000;2000;1300
500000;1800;1700;1700;2200;2000;1600
505000;1500;1900;1800;2000;1900;1700
510000;1600;1500;1500;2100;1900;1500
515000;1600;2000;1900;2000;1800;1900
520000;1600;1700;1800;2000;1900;1400
525000;1200;2100;1100;1500;1800;1600
530000;1200;1600;1400;1900;1300;1400
535000;1400;1700;1100;2000;1400;1200
540000;1000;1900;1200;2500;1900;1200
545000;1300;1600;1300;2200;1400;1600
550000;1300;2300;1000;2300;1600;1000
555000;1000;1900;1400;2200;1800;1300
560000;1200;1500;1000;1700;1500;1000
565000;1200;1400;1300;2500;1400;1100
570000;1200;1400;1100;1800;2100;1100
575000;1200;1400;1700;2200;1600;1500
580000;1100;1600;1200;2500;1500;1100
585000;1100;1300;1100;1600;1600;1100
590000;1200;1600;1200;2300;1600;1300
595000;1300;1700;1600;2500;1800;1200
600000;1300;1100;1300;2200;1700;1200
605000;1200;3100;1200;2900;1900;1300
610000;1600;2300;1300;2700;1700;1100
615000;1900;1500;1200;2300;2100;1400
620000;1200;1500;1200;3500;2400;1500
625000;1200;1200;1300;2800;2000;1400
630000;1200;1200;1200;3000;2100;1400
635000;1200;1200;1100;2300;1900;1100
640000;1200;1100;1300;2800;1900;1400
645000;1300;1300;1200;2100;2300;1200
650000;1100;1600;1200;2500;2100;1200
655000;1600;1300;1200;2700;3000;1300
660000;1200;1200;1200;2500;1700;1400
665000;1300;1400;1400;2200;2500;1100
670000;1000;1300;1400;2200;2200;1200
675000;1200;1400;1700;2300;2000;1200
680000;1100;1500;1400;2800;2100;1400
685000;1500;1400;2100;2400;2300;1300
690000;1500;1300;2000;2300;2400;1400
695000;2100;1300;2000;2200;2200;1100
700000;1300;1400;1400;3000;2400;1300
705000;1300;1300;1200;2300;2000;1300
710000;1300;1200;1600;2400;1900;1200
715000;1600;1300;1400;3100;2000;1200
720000;1300;1400;1600;2200;2500;1200
725000;1300;1500;1300;2500;2200;1900
730000;1200;1500;2100;2400;2200;1400
735000;1300;1300;1400;2100;2100;1400
740000;1200;1400;1600;2600;1900;1600
745000;1100;1400;1500;2800;2000;1600
750000;1300;1600;1400;3200;2000;1300
755000;1200;1400;1300;2800;2500;1700
760000;1400;1100;1700;2700;3100;1900
765000;1500;1400;1600;2500;2100;1500
770000;1500;2000;1500;2400;2500;4200
775000;1800;1400;1600;3200;2700;2300
780000;1300;1500;1300;2900;2400;2000
785000;1900;1500;1200;2600;2300;1800
790000;1300;1500;1700;2400;2300;1700
795000;1200;1300;1800;2300;3000;1900
800000;1300;1300;1700;3500;2700;2100
805000;1200;1800;1800;3200;3400;2100
810000;1300;1500;1300;2700;3000;1600
815000;1400;1700;1500;2400;3800;1600
820000;1300;1300;1300;3100;2300;1700
825000;1400;1700;2100;2500;2500;1400
830000;1400;1600;1500;2900;2000;1400
835000;1400;1300;2000;2600;2100;1600
840000;1400;1400;1600;2500;2200;1600
845000;1300;1900;1800;2800;3700;1200
850000;2600;1700;2000;2800;3100;1400
855000;1700;1500;1500;2600;2400;1200
860000;1800;1500;1900;2900;2000;1300
865000;1700;1700;1500;3900;2400;1500
870000;2100;2100;1500;2600;3100;1500
875000;1500;1800;1400;2400;2200;1200
880000;1400;2000;1600;3000;2100;1600
885000;1800;2200;1500;2800;2200;1400
890000;1300;2000;1600;2200;1600;1700
895000;1500;1900;1800;2100;2400;1800
900000;1400;1900;1800;2700;2400;1400
905000;1600;1600;1700;2600;2200;1600
910000;1800;1500;1600;2300;2200;1700
915000;1200;2200;1300;3000;2600;1900
920000;1500;1700;1800;2700;2300;1300
925000;1900;1600;1500;2400;2200;1600
930000;1400;1500;1500;2300;2600;1800
935000;1300;1600;1700;3500;2500;1700
940000;1200;1900;1700;2700;2100;1600
945000;1500;1600;1600;8000;2300;1600
950000;2200;1700;2300;3700;2000;1500
955000;1900;1400;2100;1900;2200;1900
960000;1800;2100;2000;3600;2000;2000
965000;1800;1500;1800;2400;3700;1800
970000;1900;1500;1400;2200;3100;1500
975000;2500;1700;1600;2900;2500;2000
980000;2100;1500;1900;2600;2400;1500
985000;1900;1700;1800;2100;3000;1500
990000;2100;1800;1700;2200;9700;2100
995000;2500;2000;1700;3200;2900;1700
1000000;2300;1900;2100;2200;2100;1400
1005000;2100;2100;1700;2100;2700;1700
1010000;2800;1900;1600;2700;2300;1600
1015000;3600;1600;2200;2900;2700;1700
1020000;2500;1300;1700;2500;2200;1800
1025000;1800;1600;2100;2800;1900;1700
1030000;1900;1700;1600;2000;2200;1700
1035000;1400;2600;1700;2200;2200;1500
1040000;1600;2000;1800;2200;2100;1800
1045000;4100;1600;1800;2100;2200;1600
1050000;2300;1200;1300;1900;1200;1900
1055000;1200;1300;1500;1600;1500;1200
1060000;1100;1200;1100;1600;1500;1100
1065000;1500;1200;1100;1800;1200;1200
1070000;1400;1200;1000;2000;1900;1100
1075000;1500;1700;1100;2500;2000;1100
1080000;1100;1300;1200;2100;1900;1000
1085000;1200;1200;1100;2200;1300;1100
1090000;1500;1600;1300;2100;2200;1400
1095000;1100;1200;1400;1300;1700;1500
1100000;1600;1200;1700;2100;2300;1200
1105000;1300;1200;1400;1700;1900;1100
1110000;1200;1200;1800;1600;1900;1500
1115000;1300;1100;1900;1500;1200;1400
1120000;1400;1300;1200;1800;1800;1600
1125000;1100;1300;1600;2400;1700;1900
1130000;1200;1400;1200;1500;1700;1500
1135000;1300;1300;1300;2000;2500;1300
1140000;1400;1400;1200;2100;1700;1200
1145000;1200;1600;1400;2500;1900;1600
1150000;1300;1400;1300;2600;1500;1400
1155000;1400;1300;1400;2000;1800;1300
1160000;1400;1200;1600;2400;1600;1300
1165000;1600;1400;1500;2600;1200;1400
1170000;1600;1200;1700;2200;1800;1200
1175000;1400;1300;1500;2700;2100;1500
1180000;1300;1200;1500;2500;2400;1300
1185000;1500;1200;1800;2400;2800;1400
1190000;1200;1700;2100;2600;2200;1700
1195000;1300;1400;1400;2800;2100;1500
1200000;1300;1400;1300;2200;2000;1600
1205000;1300;1600;1400;2800;1900;1400
1210000;1300;1300;1200;2300;2100;1400
1215000;1400;1300;1800;2500;2000;1200
1220000;1300;2000;1600;2700;2700;1100
1225000;2100;1500;1400;3400;2300;1500
1230000;1400;1500;1600;2400;2300;1800
1235000;1700;1300;1500;2700;2200;1800
1240000;1500;1300;1500;2800;2500;1500
1245000;1400;1400;1300;3000;2300;1300
1250000;1200;1800;1300;2400;1600;1700
1255000;1400;1500;1300;2700;2100;2000
1260000;1500;1500;1600;3100;1900;1600
1265000;1400;2800;1400;2600;2200;1500
1270000;1400;1300;1500;2300;3700;1500
1275000;1600;1300;1600;2800;2800;1500
1280000;1200;1300;1500;2400;2700;1500
1285000;1500;1400;1700;3300;2900;1400
1290000;1600;1800;1700;2200;2800;1400
1295000;1300;1400;1700;3000;1400;1500
1300000;1200;1500;1500;2600;2000;1300
1305000;1300;1500;1700;2300;1800;1700
1310000;1700;1300;1800;2700;2100;1300
1315000;1800;1600;1900;3400;2600;1500
1320000;1300;1400;1500;2500;4400;1300
1325000;1400;1300;1600;2400;2200;1300
1330000;1400;1600;1400;2300;2200;1800
1335000;1400;1400;1700;2300;2200;1600
1340000;1900;1300;1700;3100;1300;1700
1345000;1900;1400;1500;3300;1600;1400
1350000;1400;1600;1600;2400;1400;2200
1355000;1300;1300;2200;2300;1700;1400
1360000;2100;1800;1500;2300;1400;1600
1365000;1300;1400;1500;2500;1400;2500
1370000;1400;1600;1500;2800;1800;1600
1375000;1600;1800;1700;2700;1700;1600
1380000;2200;1400;1800;3000;2100;2100
1385000;1800;1800;4900;2300;1800;1300
1390000;1700;1900;1400;2400;2000;2000
1395000;1400;1400;1900;3200;2700;1600
1400000;1400;1800;1500;3400;2300;1700
1405000;1300;1200;1900;2800;1900;1800
1410000;2400;1300;1500;2800;2200;1800
1415000;2200;1600;2000;2400;2400;2200
1420000;1800;1600;1800;2800;2400;1700
1425000;1600;1800;1700;2400;2000;1400
1430000;1700;1500;1800;2800;1900;1500
1435000;1300;1400;1300;2500;2200;1300
1440000;1300;3300;1500;4100;1500;1400
1445000;2000;1700;1400;2500;2100;1500
1450000;1800;1600;1300;2600;2000;1400
1455000;1300;1600;1500;2300;2300;1400
1460000;2100;1600;1500;3300;1300;2000
1465000;1400;1700;1600;3200;1500;1900
1470000;1600;1700;1900;2500;1600;1600
1475000;1600;2000;1300;2900;1600;1900
1480000;1500;2000;2400;2400;1600;1800
1485000;1800;1600;1700;2700;2100;2100
1490000;1500;1400;1800;2900;1800;1400
1495000;1600;2000;1400;3300;1400;2000
1500000;2100;2600;1300;2400;2000;1800
1505000;1900;2000;1500;3100;1500;1800
1510000;1400;1500;3400;2800;1700;1700
1515000;1800;2500;2100;4300;2600;1600
1520000;1800;1800;1900;3900;2200;1400
1525000;1500;2200;2000;4100;1500;1800
1530000;1900;1500;2000;3800;1700;1600
1535000;2000;1600;2300;3700;1700;1300
1540000;1500;1500;2000;3200;1600;1700
1545000;1800;1900;1700;3700;2600;1400
1550000;1500;1900;1900;4400;1500;2000
1555000;1600;1700;1500;3900;1700;1800
1560000;2000;1600;1800;4000;1800;1600
1565000;1600;1600;1700;3800;1800;2200
1570000;1900;2000;1300;3100;2800;1700
1575000;1800;1400;1800;3100;2500;1400
1580000;1400;1700;1500;2900;2800;2100
1585000;2300;1500;2000;4900;2100;1700
1590000;1800;1900;2000;2800;2100;1700
1595000;1600;1900;2000;2500;2700;1600
1600000;1400;1500;1800;3300;1700;1900
1605000;1900;2600;1500;3700;1800;1800
1610000;1800;2200;1600;3200;2000;1600
1615000;2000;1500;1600;3100;1600;1700
1620000;1700;2000;1700;3300;1500;1900
1625000;1400;2500;1700;4300;2100;1900
1630000;1800;2800;1900;3600;1700;2400
1635000;1800;1700;2300;3200;1400;2900
1640000;1600;2300;1500;3400;2100;2200
1645000;1800;2100;2100;3400;1600;1800
1650000;1400;2000;2000;3300;1900;1600
1655000;1800;2400;2300;2600;1300;1700
1660000;1800;2300;1700;2700;2200;1700
1665000;1900;3100;1700;2600;2000;1900
1670000;2400;3200;1700;2500;2000;2000
