Card	Time1	Time2
5000	100	
10000	100	
15000	100	
20000	100	
25000	100	
30000	0	
35000	100	
40000	100	
45000	0	
50000	100	
55000	100	
60000	0	
65000	100	
70000	100	
75000	100	
80000	0	
85000	100	
90000	100	
95000	100	
100000	100	
105000	0	
110000	0	
115000	100	
120000	200	
125000	100	
130000	0	
135000	200	
140000	200	
145000	100	
150000	200	
155000	100	
160000	100	
165000	200	
170000	100	
175000	100	
180000	200	
185000	100	
190000	100	
195000	200	
200000	100	
205000	200	
210000	400	
215000	100	
220000	100	
225000	200	
230000	200	
235000	100	
240000	100	
245000	200	
250000	100	
255000	300	
260000	100	
265000	100	
270000	200	
275000	100	
280000	200	
285000	100	
290000	100	
295000	100	
300000	100	
305000	100	
310000	100	
315000	200	
320000	100	
325000	100	
330000	100	
335000	100	
340000	200	
345000	100	
350000	100	
355000	200	
360000	100	
365000	100	
370000	300	
375000	100	
380000	100	
385000	200	
390000	100	
395000	200	
400000	100	
405000	200	
410000	100	
415000	100	
420000	100	
425000	100	
430000	100	
435000	100	
440000	200	
445000	200	
450000	200	
455000	100	
460000	100	
465000	100	
470000	400	
475000	100	
480000	100	
485000	100	
490000	200	
495000	100	
500000	200	
505000	200	
510000	100	
515000	200	
520000	100	
525000	100	
530000	400	
535000	100	
540000	100	
545000	100	
550000	100	
555000	100	
560000	200	
565000	100	
570000	100	
575000	100	
580000	100	
585000	100	
590000	100	
595000	200	
600000	100	
605000	100	
610000	100	
615000	100	
620000	100	
625000	100	
630000	200	
635000	100	
640000	100	
645000	100	
650000	200	
655000	100	
660000	100	
665000	100	
670000	100	
675000	100	
680000	100	
685000	400	
690000	200	
695000	200	
700000	100	
705000	100	
710000	400	
715000	100	
720000	300	
725000	300	
730000	200	
735000	100	
740000	100	
745000	100	
750000	200	
755000	100	
760000	100	
765000	100	
770000	100	
775000	100	
780000	100	
785000	100	
790000	100	
795000	100	
800000	100	
805000	100	
810000	200	
815000	100	
820000	100	
825000	100	
830000	100	
835000	100	
840000	100	
845000	100	
850000	100	
855000	100	
860000	200	
865000	100	
870000	100	
875000	100	
880000	100	
885000	200	
890000	100	
895000	100	
900000	100	
905000	200	
910000	200	
915000	200	
920000	100	
925000	200	
930000	100	
935000	300	
940000	100	
945000	100	
950000	100	
955000	100	
960000	200	
965000	200	
970000	100	
975000	100	
980000	100	
985000	100	
990000	100	
995000	100	
1000000	100	
1005000	100	
1010000	200	
1015000	200	
1020000	100	
1025000	100	
1030000	100	
1035000	400	
1040000	100	
1045000	100	
1050000	100	
1055000	200	
1060000	100	
1065000	400	
1070000	100	
1075000	200	
1080000	100	
1085000	100	
1090000	100	
1095000	100	
1100000	100	
1105000	200	
1110000	100	
1115000	200	
1120000	100	
1125000	200	
1130000	300	
1135000	100	
1140000	100	
1145000	100	
1150000	100	
1155000	100	
1160000	100	
1165000	100	
1170000	200	
1175000	100	
1180000	100	
1185000	200	
1190000	300	
1195000	100	
1200000	100	
1205000	500	
1210000	100	
1215000	100	
1220000	200	
1225000	100	
1230000	100	
1235000	100	
1240000	100	
1245000	100	
1250000	100	
1255000	200	
1260000	100	
1265000	100	
1270000	100	
1275000	400	
1280000	100	
1285000	100	
1290000	200	
1295000	100	
1300000	200	
1305000	100	
1310000	100	
1315000	400	
1320000	200	
1325000	100	
1330000	100	
1335000	100	
1340000	100	
1345000	100	
1350000	100	
1355000	100	
1360000	100	
1365000	200	
1370000	100	
1375000	200	
1380000	100	
1385000	200	
1390000	100	
1395000	100	
1400000	100	
1405000	100	
1410000	200	
1415000	100	
1420000	100	
1425000	100	
1430000	100	
1435000	100	
1440000	100	
1445000	100	
1450000	100	
1455000	100	
1460000	100	
1465000	100	
1470000	100	
1475000	100	
1480000	200	
1485000	200	
1490000	100	
1495000	100	
1500000	200	
1505000	100	
1510000	100	
1515000	100	
1520000	100	
1525000	100	
1530000	100	
1535000	200	
1540000	200	
1545000	100	
1550000	100	
1555000	300	
1560000	100	
1565000	200	
1570000	100	
1575000	200	
1580000	100	
1585000	200	
1590000	100	
1595000	100	
1600000	200	
1605000	100	
1610000	100	
1615000	100	
1620000	100	
1625000	100	
1630000	200	
1635000	100	
1640000	200	
1645000	100	
1650000	400	
1655000	100	
1660000	200	
1665000	100	
1670000	100	
1675000	100	
1680000	100	
1685000	300	
1690000	100	
1695000	100	
1700000	200	
1705000	200	
1710000	100	
1715000	100	
1720000	200	
1725000	100	
1730000	200	
1735000	200	
1740000	100	
1745000	200	
1750000	200	
1755000	200	
1760000	100	
1765000	100	
1770000	200	
1775000	100	
1780000	100	
1785000	200	
1790000	100	
1795000	100	
1800000	200	
1805000	200	
1810000	200	
1815000	200	
1820000	300	
1825000	100	
1830000	100	
1835000	100	
1840000	200	
1845000	100	
1850000	100	
1855000	200	
1860000	200	
1865000	100	
1870000	100	
1875000	100	
1880000	100	
1885000	100	
1890000	100	
1895000	200	
1900000	200	
1905000	100	
1910000	200	
1915000	100	
1920000	100	
1925000	200	
1930000	100	
1935000	200	
1940000	100	
1945000	200	
1950000	100	
1955000	200	
1960000	200	
1965000	100	
1970000	200	
1975000	100	
1980000	400	
1985000	100	
1990000	100	
1995000	200	
2000000	100	
2005000	100	
2010000	100	
2015000	200	
2020000	100	
2025000	200	
2030000	100	
2035000	100	
2040000	100	
2045000	200	
2050000	200	
2055000	200	
2060000	100	
2065000	100	
2070000	100	
2075000	100	
2080000	100	
2085000	100	
2090000	100	
2095000	100	
2100000	200	
2105000	100	
2110000	100	
2115000	100	
2120000	200	
2125000	200	
2130000	100	
2135000	100	
2140000	100	
2145000	200	
2150000	200	
2155000	100	
2160000	100	
2165000	400	
2170000	200	
2175000	100	
2180000	100	
2185000	100	
2190000	100	
2195000	100	
2200000	100	
2205000	200	
2210000	100	
2215000	100	
2220000	100	
2225000	100	
2230000	100	
2235000	200	
2240000	100	
2245000	100	
2250000	200	
2255000	200	
2260000	200	
2265000	200	
2270000	100	
2275000	100	
2280000	100	
2285000	200	
2290000	100	
2295000	100	
2300000	100	
2305000	200	
2310000	100	
2315000	400	
2320000	200	
2325000	200	
2330000	100	
2335000	100	
2340000	100	
2345000	100	
2350000	200	
2355000	100	
2360000	100	
2365000	100	
2370000	300	
2375000	200	
2380000	100	
2385000	100	
2390000	100	
2395000	100	
2400000	100	
2405000	100	
2410000	100	
2415000	200	
2420000	200	
2425000	100	
2430000	100	
2435000	100	
2440000	100	
2445000	100	
2450000	100	
2455000	200	
2460000	200	
2465000	200	
2470000	100	
2475000	100	
2480000	100	
2485000	100	
2490000	400	
2495000	200	
2500000	100	
2505000	100	
2510000	200	
2515000	100	
2520000	100	
2525000	100	
2530000	100	
2535000	200	
2540000	100	
2545000	200	
2550000	200	
2555000	100	
2560000	100	
2565000	200	
2570000	100	
2575000	100	
2580000	100	
2585000	200	
2590000	200	
2595000	100	
2600000	100	
2605000	100	
2610000	100	
2615000	100	
2620000	100	
2625000	100	
2630000	100	
2635000	100	
2640000	100	
2645000	200	
2650000	100	
2655000	100	
2660000	100	
2665000	200	
2670000	100	
2675000	100	
2680000	200	
2685000	200	
2690000	100	
2695000	200	
2700000	200	
