Card;Time1;Time2;Time3
5000;2.0419e+006;5.067e+006;4.3931e+006
10000;4.6023e+006;1.10457e+007;6.34e+006
15000;6.9287e+006;1.15436e+007;1.22676e+007
20000;1.04703e+007;1.93477e+007;2.06013e+007
25000;1.24487e+007;2.49261e+007;2.78053e+007
30000;1.49046e+007;3.83859e+007;3.40991e+007
35000;1.7863e+007;4.38468e+007;3.22905e+007
40000;2.05097e+007;5.03661e+007;2.92897e+007
45000;2.32913e+007;5.57729e+007;3.35011e+007
50000;2.62426e+007;3.74319e+007;3.66821e+007
55000;2.90075e+007;5.15124e+007;4.02919e+007
60000;3.18921e+007;9.59017e+007;4.55059e+007
65000;3.48309e+007;9.97918e+007;4.87053e+007
70000;3.78376e+007;9.70389e+007;5.18195e+007
75000;4.072e+007;9.40439e+007;5.81202e+007
80000;4.37233e+007;9.24984e+007;6.24767e+007
85000;4.66937e+007;1.10076e+008;1.22981e+008
90000;4.9873e+007;1.24756e+008;1.11574e+008
95000;5.29339e+007;1.04788e+008;7.65068e+007
100000;5.60159e+007;1.18941e+008;8.83574e+007
105000;5.9049e+007;1.53117e+008;1.26043e+008
110000;6.21631e+007;1.58683e+008;1.43121e+008
115000;6.55109e+007;1.35682e+008;1.20674e+008
120000;6.8389e+007;1.88643e+008;1.30399e+008
125000;7.14926e+007;1.60885e+008;1.47512e+008
130000;7.56065e+007;1.75557e+008;1.46859e+008
135000;7.79381e+007;2.02843e+008;1.90762e+008
140000;8.1081e+007;1.85747e+008;1.51312e+008
145000;8.42354e+007;1.32669e+008;1.55358e+008
150000;8.75208e+007;1.6804e+008;1.43542e+008
155000;9.07983e+007;1.68737e+008;1.30359e+008
160000;9.40504e+007;1.92542e+008;1.5959e+008
165000;9.74999e+007;1.858e+008;2.06906e+008
170000;1.01653e+008;1.44195e+008;1.43867e+008
175000;1.05706e+008;2.35009e+008;1.48503e+008
180000;1.07204e+008;1.74136e+008;1.60433e+008
185000;1.10518e+008;1.8397e+008;1.94517e+008
190000;1.1399e+008;2.1674e+008;1.90418e+008
195000;1.17138e+008;1.80223e+008;2.11818e+008
200000;1.20445e+008;1.73567e+008;2.06653e+008
205000;1.23791e+008;2.05426e+008;2.15536e+008
210000;1.27768e+008;1.8646e+008;2.12607e+008
215000;1.3284e+008;2.7514e+008;2.41662e+008
220000;1.44863e+008;1.9567e+008;2.42362e+008
225000;1.44678e+008;2.08863e+008;2.59033e+008
230000;1.48952e+008;2.53413e+008;2.57661e+008
235000;1.48978e+008;2.96472e+008;2.40511e+008
240000;1.97152e+008;3.1132e+008;2.54468e+008
245000;1.51752e+008;2.71407e+008;2.20759e+008
250000;1.53868e+008;2.20204e+008;2.56857e+008
255000;1.58844e+008;2.71041e+008;2.42731e+008
260000;1.70844e+008;2.55779e+008;2.79601e+008
265000;1.64969e+008;2.94184e+008;2.59491e+008
270000;1.69152e+008;2.59593e+008;2.38202e+008
275000;1.72898e+008;3.53117e+008;3.0692e+008
280000;1.74626e+008;3.66425e+008;3.2032e+008
285000;1.77979e+008;2.75074e+008;3.05926e+008
290000;1.82283e+008;3.23355e+008;2.77445e+008
295000;1.86462e+008;2.58055e+008;2.64094e+008
300000;1.88516e+008;2.61623e+008;2.72083e+008
305000;1.94609e+008;2.64559e+008;3.49086e+008
310000;1.95897e+008;4.48976e+008;3.28364e+008
315000;2.00266e+008;2.96218e+008;3.42802e+008
320000;2.02489e+008;3.27428e+008;3.75645e+008
325000;2.08242e+008;3.53745e+008;3.52719e+008
330000;2.11404e+008;3.24435e+008;3.73913e+008
335000;2.12776e+008;3.00029e+008;3.36552e+008
340000;2.1757e+008;2.9012e+008;3.34302e+008
345000;2.21272e+008;3.77148e+008;3.57039e+008
350000;2.25612e+008;3.28373e+008;3.50292e+008
355000;2.30091e+008;3.19762e+008;3.67317e+008
360000;2.33112e+008;4.85144e+008;3.49742e+008
