Card	Time1	Time2	Time3
2500	10900	15000	11100
5000	21700	25600	22400
7500	46400	41400	32500
10000	43600	52500	43900
12500	54200	63700	54300
15000	66100	82400	65200
17500	76000	76000	75800
20000	86700	101800	86600
22500	99400	111000	97600
25000	108300	119400	108500
27500	122400	123600	119100
30000	130300	217100	130200
32500	163400	167800	141400
35000	151700	187500	151400
37500	162700	199600	162700
40000	173400	211100	173000
42500	184400	210400	183800
45000	194700	250500	194600
47500	206000	262100	205300
50000	216700	248200	216700
52500	227600	358600	227700
55000	238300	267500	237900
57500	249300	316000	248600
60000	259500	522100	260200
62500	271300	318300	270500
65000	281400	357300	281400
67500	292800	356300	295300
70000	303600	358100	304700
72500	314900	445300	317600
75000	325600	371900	340400
77500	336400	398700	335800
80000	347500	382100	346700
82500	358500	406500	357700
85000	368700	471400	369300
87500	380100	484700	380300
90000	391700	474500	391100
92500	401400	455500	401700
95000	412800	541800	418800
97500	423200	547100	423500
100000	434300	461600	434600
102500	447400	510400	445200
105000	456400	471700	456100
107500	468500	497800	466300
110000	477900	705900	477500
112500	489000	503200	488500
115000	499600	499900	499600
117500	510300	558500	511300
120000	522300	521000	521400
122500	536300	532300	532300
125000	543100	542900	543100
127500	553900	553700	553100
130000	564800	570800	564500
132500	586300	586700	574900
135000	588500	610600	586300
137500	597600	690400	597600
140000	608200	742100	607300
142500	620000	678700	618800
145000	743400	629500	642100
147500	642500	659800	640000
150000	653500	671700	651200
152500	662400	661500	665700
155000	674000	786500	673200
157500	684900	684000	684100
160000	693800	735200	694700
162500	722500	707200	706000
165000	718100	827200	716200
167500	729800	751600	727500
170000	738100	785500	737900
172500	752700	821900	749400
175000	761200	760900	997500
177500	772600	772200	770900
180000	781600	781800	781500
182500	793700	812800	795100
185000	804200	803900	803100
187500	815500	814200	813900
190000	839900	1.6499e+006	825000
192500	835200	1.7974e+006	835800
195000	848700	1.7338e+006	846800
197500	857900	1.5146e+006	857000
200000	868700	984100	868100
202500	879100	1.1964e+006	879200
205000	913000	946200	889700
207500	925300	957500	900500
210000	925200	998800	911900
212500	928100	966200	922600
215000	953000	1.1151e+006	933500
217500	944300	1.0447e+006	944300
220000	958900	979000	955200
222500	966100	967300	966300
225000	977300	977200	976800
227500	988600	988000	988000
230000	1.0154e+006	1.0145e+006	998300
232500	1.0189e+006	1.0101e+006	1.0098e+006
235000	1.0202e+006	1.0703e+006	1.0201e+006
237500	1.0316e+006	1.0311e+006	1.031e+006
