Card	Time1	Time2	Time3
2500	6400	14100	11100
5000	19000	16300	13000
7500	36000	30800	32600
10000	36900	34300	31000
12500	43300	42100	54100
15000	38900	64200	48300
17500	64600	61900	49300
20000	66300	70100	75000
22500	64800	107000	97600
25000	107800	100700	93700
27500	85400	108900	118500
30000	126600	150700	125300
32500	136300	166400	97500
35000	116700	162700	116300
37500	110000	123800	145700
40000	97800	139100	106700
42500	109200	168600	163900
45000	132200	287300	142700
47500	124100	209500	129000
50000	131700	186200	125100
52500	190000	269200	140100
55000	162300	256600	145800
57500	146400	254500	153500
60000	145300	229800	157900
62500	152200	220400	211700
65000	181500	222900	195800
67500	197200	242400	211100
70000	206100	261500	195600
72500	227100	253600	224600
75000	220100	246600	232600
77500	198300	263900	246400
80000	236100	297500	253200
82500	232300	291500	254400
85000	228800	320500	223500
87500	216300	324900	218600
90000	261600	299800	221500
92500	275000	314300	284200
95000	281800	338900	241800
97500	269500	377900	292800
100000	261600	272300	265300
102500	306100	597200	308900
105000	301000	321800	278500
107500	322100	329100	280800
110000	325800	337300	310400
112500	307100	328900	329100
115000	287700	309500	302700
117500	314200	333800	318100
120000	306800	371100	333600
122500	355900	357000	313300
125000	315600	314000	335600
127500	359300	345900	341700
130000	370900	327500	366300
132500	396700	367200	371100
135000	391300	387400	374200
137500	371800	439000	363600
140000	363900	441000	391400
142500	361700	419500	380200
145000	376600	353000	368700
147500	412100	404200	378400
150000	367600	410600	365900
152500	394200	416100	428600
155000	395700	383200	423400
157500	427300	445200	404400
160000	393800	407000	405000
162500	412000	448200	406700
165000	460500	404600	419700
167500	422600	416300	408000
170000	429700	483000	467500
172500	501700	476300	432700
175000	467600	443600	589700
177500	483100	488900	438500
180000	482700	462100	491500
182500	472000	469300	479700
185000	460300	461700	497500
187500	502700	497400	466400
190000	490400	1.2047e+006	488500
192500	494700	1.0839e+006	514400
195000	534000	1.1424e+006	499100
197500	525500	1.1004e+006	518700
200000	490300	580900	535300
202500	529900	666400	501100
205000	550300	550100	515900
207500	550500	558800	563300
210000	546800	548000	553100
212500	560200	602700	526000
215000	546500	650900	574700
217500	537100	715600	527800
220000	546300	573000	580200
222500	565500	609000	539900
225000	597700	577500	551900
227500	584700	597200	554600
230000	618900	603100	591000
232500	611300	652700	597700
235000	590000	598300	601900
237500	584400	597500	587500
240000	622600	588900	584600
242500	617900	694900	605400
245000	600700	720200	595600
247500	643400	653400	623700
250000	636100	670700	612300
252500	619900	666300	625800
255000	677100	687800	668400
257500	631700	628700	664500
260000	689600	676000	645500
262500	678800	777200	697300
265000	659400	644200	699300
267500	673400	656600	689000
270000	656800	667000	669700
272500	721200	730400	703600
275000	708000	800000	693900
277500	680000	699700	689100
280000	734200	716700	698800
282500	898300	931400	719300
285000	726600	733700	740600
287500	706400	765000	731100
290000	714200	864600	704500
292500	758700	793100	760000
295000	742400	732200	747300
297500	728100	770800	725300
300000	756400	984500	757200
302500	777700	1.0299e+006	791400
305000	762900	798000	783100
