Card	Time1	Time2	Time3
2500	100	100	100
5000	100	100	100
7500	100	100	0
10000	100	0	100
12500	0	100	0
15000	100	100	100
17500	0	100	0
20000	0	100	0
22500	0	100	0
25000	100	0	100
27500	100	100	0
30000	100	0	0
32500	0	100	100
35000	100	0	100
37500	100	100	100
40000	0	100	100
42500	100	0	100
45000	0	100	0
47500	100	0	100
50000	100	100	0
52500	0	0	100
55000	0	100	100
57500	0	0	100
60000	0	100	100
62500	100	100	100
65000	100	100	0
67500	100	0	0
70000	0	100	0
72500	0	100	0
75000	100	0	0
77500	0	100	100
80000	0	100	100
82500	100	100	100
85000	100	0	100
87500	0	200	0
90000	100	0	100
92500	0	100	0
95000	0	100	0
97500	0	100	0
100000	100	0	0
102500	100	0	0
105000	100	100	100
107500	100	100	0
110000	0	100	0
112500	0	100	0
115000	100	100	100
117500	100	100	0
120000	100	0	0
122500	0	100	100
125000	0	100	100
127500	0	0	100
130000	0	0	100
132500	100	100	0
135000	100	100	0
137500	100	200	0
140000	0	100	100
142500	100	100	0
145000	100	100	0
147500	0	100	0
150000	0	0	100
152500	100	100	0
155000	0	100	100
157500	100	100	100
160000	100	0	100
162500	100	0	100
165000	100	100	0
167500	100	100	0
170000	0	0	100
172500	0	100	0
175000	0	100	0
177500	100	100	0
180000	100	0	100
182500	100	0	100
185000	100	100	100
187500	100	0	100
190000	0	100	0
192500	100	100	100
195000	100	100	0
197500	100	100	0
200000	0	100	100
202500	100	100	0
205000	100	0	0
207500	100	100	0
210000	100	0	0
212500	100	100	0
215000	100	200	100
217500	100	0	100
220000	0	0	100
222500	100	100	100
225000	0	100	0
227500	0	100	0
230000	100	0	100
232500	100	100	0
235000	0	100	100
237500	100	0	0
240000	100	100	0
242500	0	100	0
245000	100	0	100
247500	0	100	100
250000	100	0	100
252500	0	0	100
255000	200	0	100
257500	100	100	100
260000	100	0	100
262500	100	0	0
265000	100	100	100
267500	100	0	100
270000	0	0	100
272500	100	100	100
275000	100	100	100
277500	0	100	0
280000	100	0	0
282500	100	0	0
285000	100	0	100
287500	100	0	0
290000	100	100	100
292500	0	100	100
295000	100	100	100
297500	0	100	100
300000	100	100	100
302500	100	0	100
305000	0	0	100
307500	100	100	100
310000	0	100	100
312500	0	100	100
315000	0	100	0
317500	0	100	0
320000	100	100	0
322500	0	100	100
325000	100	100	100
327500	0	100	100
330000	0	0	100
332500	100	0	100
335000	100	100	0
337500	0	100	0
340000	0	100	100
342500	100	100	0
345000	100	100	0
347500	100	0	100
350000	0	0	100
352500	0	100	0
355000	0	0	100
357500	100	100	0
360000	0	100	0
362500	100	100	100
365000	100	0	0
367500	0	100	100
370000	0	100	0
372500	0	100	0
375000	100	100	0
377500	100	200	100
380000	0	100	0
382500	100	0	0
385000	100	0	100
387500	100	0	0
390000	100	100	0
392500	100	0	100
395000	100	100	100
397500	100	0	0
400000	100	0	100
402500	100	0	100
405000	100	100	100
407500	100	200	100
410000	100	100	100
412500	100	0	100
415000	0	0	100
417500	0	100	100
420000	100	100	100
422500	100	0	100
425000	100	0	100
427500	0	100	100
430000	100	100	200
432500	100	0	100
435000	0	100	100
