Card	Time1	Time2	Time3	Time4	Time5
500000	100	100	100	100	100
1000000	100	0	0	0	100
1500000	0	100	100	100	100
2000000	100	100	100	100	100
2500000	100	100	0	100	100
3000000	100	100	100	100	100
3500000	100	100	100	100	100
4000000	100	0	0	100	0
4500000	100	100	100	100	100
5000000	100	100	100	0	100
5500000	100	0	100	100	0
6000000	0	100	100	0	100
6500000	100	0	100	100	100
7000000	0	100	100	100	100
7500000	100	100	100	0	100
8000000	100	100	100	100	100
8500000	100	100	100	100	100
9000000	100	100	100	100	100
9500000	100	100	100	100	100
10000000	100	100	100	100	100
10500000	100	100	100	100	100
11000000	100	100	100	100	100
11500000	100	100	100	100	100
12000000	100	100	100	100	0
12500000	100	100	0	0	0
13000000	100	0	100	0	100
13500000	100	100	100	100	200
14000000	100	0	100	0	100
14500000	0	100	100	100	100
15000000	0	100	0	100	100
15500000	100	0	100	100	100
16000000	0	100	100	100	100
16500000	100	100	100	100	0
17000000	0	100	100	100	100
17500000	100	100	0	100	100
18000000	0	100	0	100	0
18500000	100	0	100	100	100
19000000	100	100	100	100	100
19500000	100	0	100	100	100
20000000	100	100	100	100	0
20500000	100	100	100	100	100
21000000	100	100	100	100	100
21500000	100	0	100	100	0
22000000	100	0	200	100	0
22500000	100	100	100	100	100
23000000	100	0	100	100	100
23500000	100	100	0	100	100
24000000	100	100	100	100	100
24500000	100	100	100	100	100
25000000	100	100	100	100	100
